message_id,action,message_type,reason,confidence,evidence_message_ids
msg_044,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.58,message_0143;message_0144
msg_032,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.58,message_0119;message_0285
msg_106,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.62,message_0376;message_0234
msg_006,notify,event,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.7,message_0029;message_0044
msg_109,notify,urgent,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.79,message_0151;message_0152
msg_108,mute,scam,The message asks for sensitive verification or payment under manufactured urgency.,0.9,message_0094;message_0093
msg_019,mute,spam,"The business message is not from a verified, recognizable sender.",0.54,message_0094;message_0093
msg_088,notify,personal,The sender is known and the message asks for a direct response.,0.91,message_0025;message_0050
msg_056,notify,personal,The sender is known and the message asks for a direct response.,0.9,message_0167;message_0168
msg_027,digest,promotion,The message is promotional and matches a business or topic the user has opted into.,0.66,message_0272;message_0033
msg_050,mute,spam,"The business message is not from a verified, recognizable sender.",0.57,message_0279;message_0155
msg_083,notify,personal,The sender is known and the message asks for a direct response.,0.92,message_0219
msg_063,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.77,message_0182;message_0181
msg_033,digest,greeting,The message is a harmless greeting that can be read later.,0.58,message_0121;message_0122
msg_061,mute,greeting,The sender has a pattern of repeated forwards that the user usually ignores.,0.65,message_0177;message_0193
msg_020,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.75,message_0096;message_0114
msg_017,notify,urgent,"The message contains a direct, urgent request that overrides the group's mute state.",0.76,message_0090;message_0089
msg_058,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.67,message_0040;message_0241
msg_026,mute,spam,"The business message is not from a verified, recognizable sender.",0.54,message_0032;message_0107
msg_047,notify,event,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.73,message_0151;message_0149
msg_046,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.63,message_0148;message_0147
msg_042,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.61,message_0140;message_0139
msg_079,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.61,message_0023;message_0045
msg_098,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.75,message_0168;message_0359
msg_037,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.62,message_0001;message_0029
msg_007,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.63,message_0070;message_0069
msg_085,mute,scam,The message asks for sensitive verification or payment under manufactured urgency.,0.95,message_0221
msg_001,notify,urgent,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.8,message_0057;message_0240
msg_021,notify,urgent,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.8,message_0029;message_0044
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.7,message_0034;message_0112
msg_012,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.66,message_0079;message_0247
msg_064,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.59,message_0201;message_0087
msg_103,notify,personal,The sender is known and the message asks for a direct response.,0.91,message_0065;message_0382
msg_031,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.59,message_0249;message_0118
msg_057,notify,personal,The sender is known and the message asks for a direct response.,0.92,message_0003;message_0059
msg_087,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0223;message_0204
msg_067,notify,event,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.72,message_0098;message_0068
msg_039,notify,event,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.69,message_0051;message_0037
msg_082,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.61,message_0218;message_0397
msg_066,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.71,message_0188;message_0187
msg_049,notify,business_update,A verified business is sending an update that matches the user's account relationship.,0.66,message_0154;message_0291
msg_015,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.72,message_0023;message_0045
msg_051,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.7,message_0257;message_0104
msg_097,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.58,message_0167;message_0054
msg_089,digest,unknown,"The sender is unfamiliar, but the message shows no urgency, payment pressure, or safety risk.",0.69,none
msg_053,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.62,message_0161;message_0411
msg_059,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0023;message_0045
msg_024,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.69,message_0257;message_0104
msg_072,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.6,message_0023;message_0045
msg_036,mute,spam,"The business message is not from a verified, recognizable sender.",0.57,message_0283;message_0127
msg_076,mute,spam,"The business message is not from a verified, recognizable sender.",0.57,message_0208;message_0207
msg_055,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.75,message_0166;message_0165
msg_102,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0371;message_0230
msg_080,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.62,message_0216;message_0130
msg_093,notify,payment,A verified business is sending an update that matches the user's account relationship.,0.68,none
msg_034,mute,greeting,The sender has a pattern of repeated forwards that the user usually ignores.,0.66,message_0013;message_0014
msg_035,notify,business_update,A verified business is sending an update that matches the user's account relationship.,0.68,message_0281;message_0125
msg_101,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.63,message_0370;message_0229
msg_041,mute,spam,"The business message is not from a verified, recognizable sender.",0.57,message_0137;message_0138
msg_011,mute,greeting,The sender has a pattern of repeated forwards that the user usually ignores.,0.67,message_0014;message_0013
msg_110,mute,scam,The message asks for sensitive verification or payment under manufactured urgency.,0.92,message_0238;message_0381
msg_095,mute,scam,The message asks for sensitive verification or payment under manufactured urgency.,0.95,message_0201;message_0087
msg_074,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.71,message_0203;message_0204
msg_073,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.66,message_0202;message_0184
msg_054,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.61,message_0164;message_0163
msg_068,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.63,message_0191;message_0192
msg_100,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.78,message_0362;message_0228
msg_062,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.65,message_0043;message_0029
msg_096,digest,unknown,"The sender is unfamiliar, but the message shows no urgency, payment pressure, or safety risk.",0.66,none
msg_043,mute,forward,The sender has a pattern of repeated forwards that the user usually ignores.,0.65,message_0269;message_0216
msg_077,notify,event,A trusted group admin sent a time-sensitive operational update that should interrupt the user.,0.72,message_0051;message_0403
msg_081,digest,personal,"The sender is known, but the message has no urgent action or safety relevance.",0.57,message_0217
msg_025,notify,business_update,A verified business is sending an update that matches the user's account relationship.,0.7,message_0239;message_0004
msg_084,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.67,message_0220
msg_022,notify,urgent,"A direct message contains urgent, time-bound language that likely needs a quick response.",0.77,message_0151;message_0099
